Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Job Interviewing for Leaders and Managers,"If you think of a job interview like a test, wouldn’t it be good to go into the test knowing most of the answers? As with any test, a lack of preparation can cost you, and if you’re not prepared for an interview, it could cost you a job you’re otherwise qualified for. Interviewing is particularly important at the leadership/executive level, as there are far fewer opportunities the higher you rise. In this course, Sarah Johnston teaches you how to effectively prepare for an interview so that you can answer the most challenging and difficult questions. Sarah starts with pre-interview prep tips, like researching your audience so that you can build a strong rapport and avoid potential pitfalls. She then covers the most common types of questions asked in interviews and how to target your responses, and explains the importance of effective storytelling in your interview. Sarah also teaches effective ways to end an interview, as a last impression can be as important as the first impression.",Course,2025-02-26 22:37 UTC,N/A,true,N/A,
Get a Remote Data Science Job,"<p>There has never been a better time to find the balance between your work life and your personal life. In this course, recognized Python instructor and blogger Michael Galarnyk highlights the most effective ways to find a dream remote data science job. Learn how to write an effective resume, work your network, and create a data science portfolio. Go over building your online presence and finding remote job opportunities. Plus, find out how to ace your interviews, stand out remotely, and craft a productive follow-up strategy. </p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  <img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2025-02-26 23:36 UTC,N/A,false,N/A,
Utiliser les compétences comme un avantage compétitif,"Dans cette formation qui s'adresse aux managers et aux décideurs, vous aborderez les compétences comme un avantage compétitif pour les organisations et les entreprises. Avec Adilson Borges, vous verrez comment construire une organisation axée sur les compétences, en soulignant leurs avantages et en voyant de quelle manière elles peuvent être liées à la stratégie. Vous aborderez également l'impact sur les évolutions du business et la stratégie qui en découle, ainsi que le recrutement basé sur les compétences.",Course,2024-10-14 15:22 UTC,N/A,false,N/A,
Agentic AI Solution Communication Architectures,"<p>Tasks carried out by agentic AI systems can involve numerous agents that need to be able to effectively communicate with each other on an on-going basis. Furthermore, individual agents can have their own application architectures with distributed services that need to be able to efficiently exchange data. In this course, LinkedIn Top Voice and best-selling author Thomas Erl establishes key communication architectures for inter-agent and intra-agent messaging and data flow, ranging from basic synchronous data exchanges to various asynchronous messaging styles. Key messaging fabric platforms are explained to enable different types of asynchronous communication, along with detailed sample interaction scenarios. </p>

<p>This course was created by Thomas Erl. We are pleased to host this training in our library.</p>",Course,N/A,N/A,true,N/A,
Internal Rate of Return for Business Leaders,"Business leaders need to know the value of investment decisions. Measuring IRR helps leaders make sound business investment decisions and helps them be effective stewards of company finances. In this course, Jason Schenker—an economist, finance expert, futurist, speaker, and author—covers internal rate of return (IRR), net present value (NPV), return on investment (ROI), cash flow, discounted cash flow models (DCF), and the time value of money. Build and deepen your understanding of these topics, and learn how you can apply formulas to specific investment opportunities to make informed, high-value decisions.",Course,2024-12-14 17:57 UTC,N/A,false,N/A,
Interview Mistakes You Can’t Take Back,"Looking to excel in your next job interview? In this course, Brittany Hayles, an expert career and interview consultant, offers practical strategies to avoid common interview mistakes. Learn how to convey your alignment with company culture, structure your responses to stand out, and tackle personal questions intelligently. After this course, you'll be ready to shine in your next interview, leaving a lasting impression on future employers.",Course,2025-06-21 09:48 UTC,N/A,false,N/A,
Managing Multiple Projects,"<p>Multiple projects mean demands and deadlines coming from all angles, increasing the risk of burnout. So how can you effectively juggle all the projects without feeling overwhelmed? In this audio-only course, Elizabeth Harrin shares her five-part model to take the stress out of project management and prevent surprise derailers.</p><p>Elizabeth Harrin has trained, mentored, and led project managers for over 20 years. She’s the founder of RebelsGuideToPM.com and the author of <i>Managing Multiple Projects</i>.</p><p>Learn how to optimize your workflow by thinking through the 5 Ps: portfolio, plan, people, productivity, and positioning. Discover how to set up time-saving tools and ensure your team follows through. Finally, Elizabeth shares how to flex dynamically using the “iron triangle” of constraints: time, cost, and quality.</p><p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>",Course,N/A,N/A,true,N/A,
"Think Faster, Talk Smarter: Master Impromptu Speaking","<p>Public speaking is a big fear for many people, but off-the-cuff speaking—when you’re put on the spot—can be just as nerve-wracking. Whether you’re asked to introduce yourself or someone else, making small talk, or just asked “What do you think,” giving feedback in the moment can cause even the most confident of us to crumble. In this audiobook summary, Matt Abrahams shares some key points from his book <i>Think Faster, Talk Smarter: How to Speak Successfully When You’re Put on the Spot</i>. Communication is critical to success in our personal and professional lives, yet too often we’re not prepared for the moments when we need to step up and shine. Join Matt in this course to get the guidance—and grit—to be a better-in-the-moment spontaneous communicator.
</p><p> 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-06-23 03:06 UTC,2025-06-23 03:05 UTC,false,"Video Title: Learn to listen attentively with pace, space, and grace
Created At: 2025-06-23 03:01 UTC
Offset In Seconds: 11
Speak is an opportunity , focus sur le moment même , s'entrainer à l'impro

Video Title: Learn to listen attentively with pace, space, and grace
Created At: 2025-06-23 03:03 UTC
Offset In Seconds: 141
Rhymthe, place et grace 
grand place à l'écoute --> donc rythme +++

Video Title: To connect with your audience, embrace your mistakes
Created At: 2025-06-23 02:55 UTC
Offset In Seconds: 26
Parlé spontannée ou pas prévu : 
- 2 approches : respirer pour dimunuer l'anxiété --> etre plus confiant

Video Title: Use structures to make speaking easier
Created At: 2025-06-23 03:06 UTC
Offset In Seconds: 198
Structure : preparer à etre spontanée , apprendre à clair, pensé à respirer pour donner des détail pertinent",
Consulting Foundations,"Consulting is a top-paying, high-growth career path that comes with benefits like being able to set your own schedule and define the type of work you do. Whether you want to make the move into the consulting field or become more established and competitive as a consultant, this course can help you both set up and manage a consulting business. Join Mike Figliuolo as he covers the critically important components of consulting—including marketing, selling, contracting, managing engagements, and business administration. Learn how to optimize the time and effort you spend, follow best practices, and avoid common pitfalls. He shares instructions and insights related to expanding client relationships, running engagements, responding to RFPs, protecting intellectual property, getting licensed, and more.",Course,N/A,N/A,true,N/A,
How to Generate Marketing Leads with AI,"<p>As the use of generative AI becomes more widespread, marketers are benefitting from combining marketing strategies with these tools, leading to innovative techniques for lead generation. In this course, social selling expert and coach Lorenzo Johnson guides you on this transformative journey. Explore AI's role in lead generation, gaining profound insights into essential AI technologies. Navigate the realm of AI-driven customer segmentation, harnessing its power to identify and target specific audiences effectively. Plus, discover how to integrate AI and personalization, enabling precise lead nurturing strategies. After completing this course, you'll have advanced skills to harness AI's potential, revolutionizing your approach to lead generation so you can enhance your marketing abilities.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  <img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" /><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-02-27 09:20 UTC,N/A,true,N/A,
Essential Skills for Social Media Managers,"Social media is key to many marketing and publicity endeavors, but what skills do you need to manage your organization’s social media effectively? In this audio-only course, social media and marketing career expert Brian Honigman describes the essential skills for successful social media managers. Brian reviews how to develop a social media strategy, including planning with an editorial calendar and researching your industry. He covers content creation and dives into community management, with topics like responding to customer feedback and providing customer service on social media. Brian explains effective uses for paid social advertising and shows you how to collaborate with partners like internal stakeholders, creators, and other brands. He presents practical tips on analyzing social media goals and metrics, as well as using a mix of measurement tools. Plus, Brian examines how the social media manager's role is likely to develop, so you can stay ahead of the curve.",Course,N/A,N/A,true,N/A,
Build with AI: Creating AI Agents with GPT‑5,"Learn how to build intelligent AI agents using GPT‑5. In this hands-on course, you’ll explore GPT‑5’s advanced capabilities, reasoning, tool calling, and steerability, to create agents that can take action, follow multi-step workflows, and complete real-world tasks. You’ll also learn how to tune behavior with verbosity and reasoning parameters, integrate custom tools, and deploy agents that go beyond simple chat.",Course,2025-10-03 15:00 UTC,N/A,true,N/A,
Social Media Marketing Tips,"In the modern business landscape, a healthy social media presence is a must for companies large and small, and social media marketing is a must for a healthy professional social media presence. In this course, instructor Sam Dey shares easy-to-use tips for marketing your business on social media. Sam shows you how to research the market and the different types of social media, then goes into how to manage a posting schedule. He discusses how to decide what type of content you should post and where to post it for the most effective impact. Sam explains how to engage influencers and brand advocates, use Google Analytics effectively, boost the reach of your social media campaigns, keep your followers engaged in your content, and more.",Course,N/A,N/A,true,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2025-10-08 14:55 UTC,N/A,false,N/A,
Develop Your Marketing Skills,"Learn how to use effective content and digital marketing techniques to support your objectives and maximize the return on your marketing investments. Learn about principles and methods for showing, promoting, and selling products or services, including marketing strategies and tactics.",Learning Path,N/A,N/A,true,N/A,
"Develop Critical Thinking, Decision-Making, and Problem-Solving Skills","Improve your logic, sharpen your judgment, and make better decisions through critical thinking by exploring alternative solutions to problems. Discover how to question assumptions, apply sound reasoning, break down complex issues into manageable pieces, and grasp the implications of information.",Learning Path,N/A,N/A,true,N/A,
Improve Your Time Management Skills,"Transform your workday and your career by unlocking the secrets of time management. Learn foundational skills that will help you prioritize, schedule, and delegate effectively, all while nurturing your long-term well-being.",Learning Path,N/A,N/A,true,N/A,
Essential Business Communication Skills Professional Certificate by LinkedIn Learning,"<div class=""ExternalClass103B55DFF8694F52B3AD1566D8DB9AD4"">Regardless of your role or industry, strong communication skills are essential to advance your career and work more effectively. This learning path will help you to develop your communication skills to build trusting relationships, resolve conflicts, and share your ideas with clarity and confidence. Tune in, pass the final exam, and earn your certificate.</div>",Learning Path,N/A,N/A,true,N/A,
Create and Deliver Engaging Presentations,"You’ve landed a meeting with a dream client, investor, or partner. Next, wow them with your presentation. Presenting your ideas in a clear and visually engaging way is a critical step toward the outcome you want. This learning path can help you create and deliver a compelling presentation.",Learning Path,2025-03-01 15:14 UTC,N/A,true,N/A,
Professional Soft Skills Learning Pathway,"Learn how to excel in any job by mastering essential professional soft skills. Develop the skills that hiring managers value most, from emotional intelligence and critical thinking to teamwork and addressing unconscious bias.<br><br>Note: To view a version of this learning path with audio descriptions, see <a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway-with-audio-descriptions?u=104""><i>Professional Soft Skills Learning Pathway (with Audio Descriptions)</i></a>.",Learning Path,2024-12-14 17:40 UTC,N/A,false,N/A,
Essential Skills in Adobe Illustrator 2025 Professional Certificate,"Adobe Illustrator is the industry standard for vector graphics and digital illustration. Whether you're creating icons and logos or complex artwork, mastering Illustrator is essential for design professionals. This course covers fundamental tools, techniques, and best practices to help you create professional-quality vector graphics. Complete the course, pass the final exam, and earn your certificate.",Learning Path,N/A,N/A,true,N/A,
Keys to Success in Personal Finance,"Get ahead and take control of your finances with this learning path, which teaches you how to manage and find balance in your personal finances, as well as how to invest when you're ready.",Learning Path,N/A,N/A,true,N/A,
Public Speaking Skills Professional Certificate by Toastmasters International,"Public speaking is a crucial skill for professional success. With these courses, you'll learn essential techniques for confident and effective communication. This certificate will equip you with the tools to speak confidently, craft and deliver impactful presentations, and develop the non-verbal communication skills that enhance your message. Tune in, pass the final exam, and earn your certificate.
<br><br>
This certificate is endorsed by Toastmasters International, the organization that has empowered more than eight million people to transform their speaking and communication skills since 1924.&#160;<a target=""_blank"" href=""https://www.toastmasters.org/find-a-club?utm_source=linkedin&utm_medium=certificate&utm_id=linkedin-learning&longitude=-104.9878&latitude=39.6478"">Find a Toastmasters club</a>&#160;local to you (or online) to practice the skills you learn in this path.",Learning Path,N/A,N/A,true,N/A,
Develop Your Social Media Marketing Skills,"Social media marketers are an organization's direct connection to a consumer. Social media has dramatically altered marketing by allowing businesses to authentically engage with their customers. In this learning path, discover how to leverage social media in your overall marketing strategy, and learn best practices for helping you successfully connect with consumers. ",Learning Path,N/A,N/A,true,N/A,
Develop Your Skills as a Healthcare Project Manager,"Privacy concerns and regulatory constraints are common roadblocks for healthcare project managers. This learning path will prepare you to meet those challenges, as well as provide you with a foundational knowledge to be an exceptional project manager.",Learning Path,N/A,N/A,true,N/A,
How to Find the Work You Love,"Do you know what your career goals are or you’re on the right track to get there? This course will help you figure out your career goals and find the work you really love. Your instructor Chris Guillebeau guides you through discovering what's most important to you in a future career. Whether uncertain about your direction or seeking to enhance career security, this course helps you discover actionable tools and entrepreneurial thinking to pursue work you love.",Course,N/A,N/A,true,N/A,
The Good Life: Lessons from the Longest Study on Happiness (Book Bite),"<p>What makes for a good life? There are countless answers to this question from philosophers, religious types, and self-help authors, not to mention the opinions of family, friends, and neighbors. The research conducted over 85 years by the Harvard Study of Adult Development reveals a surprising answer for the source of happiness: other people. Or more precisely, our relationships to other people. The stronger our relationships, the more likely we are to live happy, satisfying, healthier lives.
Marc Shulz, professor of psychology and Director of Data Science at Bryn Mawr College, and Robert Waldinger, professor of psychiatry at Harvard Medical School, explored the findings of the Harvard study in their book, <i>The Good Life: Lessons from the Longest Study on Happiness</i>. In this audiobook summary from Next Big Idea Club, Marc shares five key insights from the book that teach you how to cultivate and improve the relationships that can lead to a happier, more fulfilling life.
</P><p>
This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-04-09 21:49 UTC,N/A,false,N/A,
Garder son esprit critique à l’ère digitale,"Dans cette formation proposée par Lucie Rondelet, et qui s'adresse à tous les publics et à tous ceux qui cherchent de l'information, vous aborderez le thème de l'esprit critique à l'heure du digital et d'Internet. Après avoir pris connaissance des dangers auxquels vous pouvez être exposé, vous verrez comment vous en protéger et éviter des pièges comme l'enfermement de la subjectivité ou le biais de confirmation. Votre formatrice vous présentera aussi les travaux de Gérald Bronner et vous expliquera comment chercher de l'information fiable et sûre.",Course,2024-11-13 18:35 UTC,N/A,false,N/A,
Persuader et convaincre : 5 erreurs à éviter lors d'une présentation,"Les  « tue-la-com' » sont toutes ces petites choses qui, cumulées, abîment vraiment la relation entre votre auditoire et vous quand vous prenez la parole en public. Il y en a de nombreux, mais parmi ceux-ci, cinq sont particulièrement courants et particulièrement embêtants. Ils ne sont pas très compliqués à éviter ou corriger mais il est tout d'abord essentiel d'en prendre conscience. Découvrez les cinq erreurs les plus courantes lors d'une présentation et apprenez comment s'en affranchir.
</br>
Cette formation a été créée par Pascal Haumont, spécialiste en communication. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2023-03-02 17:31 UTC,N/A,false,N/A,
How to Break Bad Habits (When You Don't Know They're Bad),"Breaking bad habits is hard enough—they’re habits for a reason, after all—but breaking bad habits that you don’t even realize are bad can be exponentially harder. There are many instances in our lives where we do things unconsciously, or worse, where we even think we’re being good or polite, that can end up sabotaging our whole lives. In this course, Samantha Bennett teaches you how to first recognize your bad habits—what they are and how they become habits—and then explains how you can analyze both the good and bad habits in your life. Learn about the small, easy steps you can take towards changing your behavior to create a life that you love.",Course,2025-04-02 15:01 UTC,N/A,false,N/A,
Excel: Dashboards for Beginners (2022),"<p>Did you know that you can quickly create a dashboard in Excel even if you’re pressed for time? While many people assume that dashboards are complicated and limited to the most advanced Excel power users, it’s simply not true–all you need is a little practice. In this short course, Excel MVP Jordan Goldmeier demystifies dashboards and shows you how to create your first interactive dashboard in minutes.</p><p>Explore the basic components of a dashboard in Excel: tables, PivotTables, PivotCharts, slicers, and timelines. Learn how to plan a dashboard, create a summary table, build a time series chart, and then finalize your dashboard so it's ready to share with stakeholders. Jordan gives you quick, easy-to-use tips and techniques so you can start visualizing your data immediately.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-customer-relationship-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2025-02-26 13:41 UTC,N/A,false,N/A,
Project Management: Solving Common Project Problems,"When you're balancing the triple constraints of project management (cost/quality/time) and trying to accomplish something new, problems are bound to crop up. In the course, project management trainer Chris Croft shows how to solve the most common problems that arise when working on projects. By breaking these issues into 4 major categories—people problems, quality problems, cost problems, and time problems—he provides helpful advice and techniques for how to handle them.",Course,2025-02-26 23:06 UTC,N/A,false,N/A,
AI-Powered Presentations: Crafting Compelling PowerPoints with ChatGPT and Copilot,"Discover how to use generative AI tools like ChatGPT and Microsoft Copilot to create high-impact presentations quickly. Presentation designer Camille Holden guides you through everything you need to know, from researching and generating compelling slide content to exporting AI-generated output into PowerPoint and more. Learn how to use generative AI tools to create a solid outline for your presentation. Leverage the power of AI to flesh out the content of your slides—whether you’re writing eye-catching titles and well-crafted copy or sharing interesting anecdotes and statistics. Explore ways you can build and customize ChatGPT agents. Camille shows you how generative AI tools can help develop images that complement your material. By the end of this course, you’ll be prepared to quickly refine and edit your first drafts in PowerPoint to take your presentations to the next level.",Course,N/A,N/A,true,N/A,
Mastering Presentations for Non-Native English Speakers,"<p>Giving presentations can be challenging and uncomfortable—even more so when they are not in your native language. In this course, Liesje Sandler, an English coach at Speexx, teaches how to give a successful presentation that makes you feel confident and comfortable. Learn how to prepare a good presentation, master transitions during the presentation, and deal with questions. Plus, get tips and the necessary wording to ensure that the presentation runs smoothly from start to finish.
</p><p>
This course is part of a <i>Business English for Non-Native Speakers</i> series aimed at anyone with a basic knowledge of English who wants to improve their business English skills.</p>",Course,2024-12-26 17:03 UTC,N/A,false,N/A,
Curating Your Instructional Design Portfolio,"<p>If you’re an instructional designer, elearning pro, or former teacher transitioning into elearning, having a way to showcase what you've done and can do is essential. Your portfolio showcases your skills, proves your expertise, and highlights your value to potential clients or employers. </p>

<p>In this course, elearning expert David Anderson shows you how to curate and prepare the key elements for a professional portfolio. Find out how to select your best work, organize projects, and present them in a way that reflects your skills and experience. Plus, learn how to craft engaging project descriptions, create impactful thumbnails, and ensure your portfolio remains adaptable as your career evolves.</p>",Course,2025-10-04 12:21 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-02-26 13:40 UTC,N/A,false,N/A,
L'essentiel de Node.js,"Dans cette formation, qui s’adresse aux développeurs JavaScript de niveau débutant, vous allez découvrir Node.js, un environnement d’exécution JavaScript multiplateforme et open source. Nina Kapinga, développeuse full-stack et formatrice en programmation, vous présentera tout d’abord les bases de Nodes.js puis vous accompagnera pas à pas dans son installation. Vous découvrirez ensuite comment l’utiliser. À l’issue de ce cours, vous disposerez des connaissances pour créer et exécuter du code en Node.js, comprendre les grandes lignes de l’environnement d’exécution et créer des applications back-end avec Node.js.",Course,2024-11-23 04:38 UTC,N/A,false,N/A,
Excel pour Mac : Préparer des écritures comptables,"Si vous pratiquez la comptabilité avec le tableur Microsoft Excel pour Mac, découvrez cette formation d'Alexandra Beauchamps sur la préparation des écritures. Grâce à des cas et à des exercices pratiques, et après avoir mis sur pied les bases de votre organisation, notamment vis-à-vis de votre expert-comptable, vous apprendrez à enregistrer les mouvements et à gérer les pièces comptables, et vous verrez comment éviter les erreurs. Puis, vous assurerez le suivi des frais, des stocks, de la trésorerie, avant de finir sur celui des emprunts et des amortissements.",Course,2024-06-19 15:21 UTC,N/A,false,N/A,
Statistics Foundations 1: The Basics,"<p>Statistics is not just the realm of data scientists. All types of jobs use statistics. Statistics are important for making decisions, new discoveries, investments, and predictions. Whether the subject is political races, sports rankings, shopping trends, or healthcare advancements, statistics is an instrument for understanding your favorite topic at a deeper level. In this course, Professor Eddie Davila offers beginner-level lessons, so you too can master the terms, formulas, and techniques needed to perform the most common types of statistics.</p><p>Eddie covers several examples of data and charts. He explains how to find the middle of your data set, as well as the mean and median. He introduces range, then goes into standard deviation and what to do with outliers. These techniques help you understand your data, prove theories, and save time, money, and other valuable resources—all by understanding the numbers.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/statistics-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,N/A,N/A,true,N/A,
Enhancing Power BI with Visio Visuals,"In this course, Scott Helmers—a partner with the Harvard Computing Group (HCG)—shows you how to enhance your data visualizations by integrating Microsoft Visio with Power BI. Explore ways to combine Visio's detailed diagrams with Power BI's dynamic data visualization capabilities to create comprehensive, interactive reports. Practice embedding Visio diagrams in Power BI reports. Discover techniques for adding and configuring Visio visuals within Power BI, learn to leverage Visio's shape data for enhanced interactivity, and find out how color-coding and text annotations can visualize data dimensions directly within your diagrams. This course is designed for data professionals, analysts, and anyone interested in elevating their data presentation skills. By the end of this course, you'll be equipped to create visually rich, interactive reports that provide deeper insights into your data, helping stakeholders understand complex information at a glance.",Course,2025-06-30 12:44 UTC,N/A,false,N/A,
"10 minutes, un livre : Intelligence Artificielle, quel futur pour les humains ?","Dans cette formation, vous découvrirez « La vie 3.0 : Être humain à l'ère de l’IA », le livre du physicien et écrivain Max Tegmark. Vous comprendrez comment l'évolution de l'Intelligence Artificielle (IA) a impacté la vie des humains ces dernières années. Vous verrez également comment certains scientifiques envisagent le futur pour la cohabitation entre l'Intelligence Artificielle et l'humanité.</br></br> Cette formation a été créée par Mind Parachutes. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2024-06-30 16:11 UTC,N/A,false,N/A,
Learning Go (2021),"What is Go? Go is a next-generation, open-source programming language created by Google for building systems, web, and other applications. This course is designed to help developers get started with Go, covering its core language elements and syntax. David Gassner introduces tools and skills used in a Go workflow—including Go Playground, an online tool that takes Go development off the desktop. He also covers basic programming tasks: managing values, using math operators, storing values as complex types, and managing program flow. Plus, learn how to create reusable Go code, read and write files, and make simple web requests.

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-05-07 13:34 UTC,N/A,false,N/A,
Communicate to Influence (Blinkist Summary),"Effective communicators do more than just share facts and charts—they inspire. In this audiobook summary, get techniques for engaging audiences large and small, and discover how to avoid common mistakes that can take even great messages off track. Learn about common strains on communication, how to engage your audience with stories and humor, how to identify what your audience cares about, and more. Each lesson is drawn from <i>Communicate to Influence</i>, Ben and Kelly Decker's 2015 guide to enhancing business communication.<br><br>Note: This audiobook summary was produced by <a href=https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=Communicate-To-Influence-Blinkist target=""_blank"">Blinkist</a>.  We are pleased to host this content in our library.",Course,N/A,N/A,true,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2025-03-06 15:39 UTC,N/A,false,N/A,
Excel pour Mac : Astuces et techniques,"Si vous êtes utilisateur du tableur Microsoft Excel pour Mac et que vous souhaitez aller plus loin dans sa maîtrise, alors suivez cette formation de Nicolas Levé. Vous verrez comment simplifier la saisie des données dans vos feuilles de calcul et vous apprendrez à tirer parti des formules pour effectuer vos calculs. Vous gagnerez en productivité en apprenant également à mieux gérer vos données, à travailler avec un volume conséquent de données et à personnaliser votre programme et son interface.",Course,2024-08-05 08:52 UTC,N/A,false,N/A,
Accompagner la montée en compétences de votre organisation,"La montée en compétences est un enjeu majeur pour les organisations, dans un contexte de transformation digitale et de changements rapides. Elle permet aux collaborateurs de développer les compétences nécessaires pour répondre aux besoins de l'entreprise et aux évolutions du marché. Cette formation d'Adilson Borges vise à éveiller les managers à la mise en place d'un dispositif d'accompagnement de la montée en compétences, un processus continu qui nécessite un engagement de la part de l'entreprise comme des collaborateurs. Vous y aborderez également les concepts de upskilling et reskilling, et vous apprendrez à en mesurer l'impact.",Course,2024-11-20 00:32 UTC,N/A,false,N/A,
Créer des images avec l'IA Midjourney,"Découvrez Midjourney pour réaliser des images de qualité exceptionnelle. Dans cette formation, Martin Lisen, artiste et créateur de contenu 3D, vous explique comment utiliser lintelligence artificielle (IA) pour créer des images incroyables tout en respectant les droits de propriété et une éthique artistique. Vous allez définir le concept dintelligence artificielle, ainsi que les avantages et les risques de lIA. Vous allez également comprendre limportance de prendre en compte ces aspects tout au long du processus de création.",Course,2024-06-29 07:21 UTC,N/A,false,N/A,
Communicating with Emotional Intelligence,"<p>Developing your emotional intelligence can help you succeed at any stage of your life or career. It can also help you become a better leader, mentor, and coach. In this course, Brenda Bailey-Hughes defines exactly what emotional intelligence is and how it can help you manage your emotions and build stronger relationships. Learn how to understand others’ perspectives, balance empathy and accountability, demonstrate listening, and respond appropriately to a variety of verbal and nonverbal cues. Using these simple techniques, you can quickly improve your communication and make conversations at work and home more productive and satisfying. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,N/A,N/A,true,N/A,
How to Get (and Stay) On Top of Your Inbox,"When it comes to your inbox, it's easy to start the day feeling overwhelmed. So many emails, so many contacts—you never know which to focus on first. Not to mention, it makes you feel stressed, confused, and out of control. In this interview-style course, productivity strategist and time management expert Mike Vardy shows you how to respond to emails proactively instead of reactively with too much haste. Learn how to implement a system for managing your inbox, with tips to keep bad habits out of your workflow. Mike provides three simple approaches for how to prioritize and respond to emails, as well as timing strategies to optimize your output and automate certain responses. Upon completion of this course, you'll be equipped with the resources you need to stay on top of your inbox, for once and for all.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-03-18 18:40 UTC,N/A,false,N/A,
Découvrir Power BI,"Dans cette formation qui s'adresse aux débutants, Benjamin Ejzenberg vous présente Power BI, l'application et le service de visualisation, d'analyse de données et de Business Intelligence (BI) de Microsoft. Après avoir abordé son rôle, les différences avec Excel et ses composants clés, vous procèderez à l'importation des données en respectant quatre règles d'or présentées ici. Vous découvrirez l'interface ainsi que les outils de visualisation des données, avec la mise en forme de votre rapport, puis vous verrez comment analyser les données, publier et partager les rapports.",Course,2024-08-26 11:30 UTC,N/A,false,N/A,
